permno,bankruptcy_dt
53284,11/20/1989
87522,11/22/1989
78626,12/4/1989
11302,12/8/1989
66449,12/15/1989
41305,12/15/1989
11865,12/19/1989
92420,12/26/1989
11226,12/28/1989
73462,1/1/1990
29701,1/1/1990
11428,1/1/1990
88306,1/1/1990
36760,1/1/1990
11491,1/1/1990
92356,1/1/1990
54360,1/1/1990
58018,1/4/1990
17304,1/15/1990
11621,1/29/1990
72207,1/30/1990
11940,1/31/1990
57883,1/31/1990
59846,2/2/1990
75190,2/2/1990
66974,2/6/1990
38966,2/8/1990
28409,2/8/1990
55853,2/13/1990
20854,2/22/1990
75409,2/23/1990
10076,2/26/1990
75539,2/26/1990
27000,2/28/1990
47221,3/2/1990
59935,3/20/1990
67045,3/23/1990
11188,3/28/1990
41734,4/2/1990
56507,4/3/1990
11987,4/4/1990
32141,4/6/1990
67918,4/6/1990
70659,4/10/1990
52361,4/12/1990
89106,4/16/1990
60143,4/17/1990
32037,4/18/1990
89421,4/20/1990
44548,4/25/1990
10152,4/30/1990
63095,4/30/1990
76058,4/30/1990
46025,5/2/1990
67117,5/14/1990
48047,5/15/1990
12251,6/7/1990
11953,6/8/1990
24521,6/12/1990
10805,6/13/1990
11239,6/15/1990
69868,6/22/1990
75651,7/5/1990
70850,7/10/1990
74019,7/11/1990
92006,7/13/1990
10191,7/13/1990
27247,7/19/1990
92989,7/20/1990
10840,7/30/1990
28346,7/31/1990
11023,8/1/1990
56549,8/2/1990
67555,8/14/1990
11697,8/15/1990
60409,8/15/1990
75681,8/17/1990
49672,8/22/1990
12091,8/24/1990
66536,8/29/1990
86642,9/11/1990
68320,9/17/1990
46084,9/17/1990
54447,9/18/1990
27503,9/19/1990
62586,10/3/1990
20320,10/11/1990
39984,10/15/1990
16732,10/24/1990
55351,10/24/1990
20570,10/28/1990
10320,11/1/1990
68734,11/1/1990
46878,11/6/1990
86239,11/7/1990
24089,11/16/1990
75698,11/18/1990
62544,11/19/1990
66675,11/19/1990
11939,11/30/1990
60388,12/3/1990
67512,12/5/1990
63212,12/7/1990
52687,12/10/1990
12888,12/10/1990
73171,12/10/1990
23377,12/12/1990
17225,12/14/1990
68937,12/17/1990
47204,12/20/1990
17495,12/28/1990
30809,1/4/1991
16695,1/7/1991
21872,1/7/1991
20984,1/8/1991
16053,1/13/1991
18278,1/24/1991
41275,1/24/1991
56864,1/24/1991
67299,1/28/1991
11747,1/30/1991
75170,2/4/1991
63693,2/6/1991
40352,2/11/1991
75291,2/11/1991
11640,2/15/1991
57234,2/15/1991
31595,2/19/1991
37365,2/19/1991
17014,2/22/1991
33292,2/26/1991
61525,2/27/1991
34981,3/1/1991
53939,3/25/1991
53306,4/1/1991
61866,4/8/1991
48565,4/15/1991
54528,4/21/1991
48776,4/26/1991
63642,5/3/1991
35589,5/13/1991
72777,5/22/1991
68435,5/30/1991
29276,5/30/1991
66560,5/31/1991
10556,6/7/1991
33232,6/18/1991
68056,6/20/1991
57701,6/21/1991
12424,6/27/1991
74027,6/28/1991
71239,7/1/1991
13290,7/3/1991
